Début du scan avec comme paramètres : 
Protocole : UDP		 Nom d'hôte : 127.0.0.1
Port 136		Ouvert
Port 1412		Ouvert
Port 952		Ouvert
Port 2141		Ouvert
Port 2151		Ouvert
Port 2161		Ouvert
Port 1382		Ouvert
Port 2181		Ouvert
Port 2171		Ouvert
Port 2191		Ouvert
Port 544		Ouvert
Port 742		Ouvert
Port 2201		Ouvert
Port 2221		Ouvert
Port 393		Ouvert
Port 2211		Ouvert
Port 1422		Ouvert
Port 2231		Ouvert
Port 2251		Ouvert
Port 2261		Ouvert
Port 2241		Ouvert
Port 982		Ouvert
Port 2271		Ouvert
Port 2281		Ouvert
Port 1432		Ouvert
Port 1442		Ouvert
Port 2291		Ouvert
Port 2321		Ouvert
Port 2301		Ouvert
Port 2311		Ouvert
Port 574		Ouvert
Port 1002		Ouvert
Port 2341		Ouvert
Port 2331		Ouvert
Port 993		Ouvert
Port 2351		Ouvert
Port 1022		Ouvert
Port 2361		Ouvert
Port 2371		Ouvert
Port 96		Ouvert
Port 1472		Ouvert
Port 2381		Ouvert
Port 2401		Ouvert
Port 2391		Ouvert
Port 2411		Ouvert
Port 2431		Ouvert
Port 126		Ouvert
Port 2421		Ouvert
Port 594		Ouvert
Port 2441		Ouvert
Port 565		Ouvert
Port 2451		Ouvert
Port 2461		Ouvert
Port 1512		Ouvert
Port 1492		Ouvert
Port 216		Ouvert
Port 792		Ouvert
Port 1542		Ouvert
Port 2471		Ouvert
Port 2481		Ouvert
Port 2491		Ouvert
Port 1522		Ouvert
Port 2501		Ouvert
Port 2511		Ouvert
Port 106		Ouvert
Port 2521		Ouvert
Port 803		Ouvert
Port 2541		Ouvert
Port 413		Ouvert
Port 2531		Ouvert
Port 2551		Ouvert
Port 145		Ouvert
Port 1572		Ouvert
Port 2561		Ouvert
Port 1072		Ouvert
Port 1053		Ouvert
Port 2581		Ouvert
Port 2591		Ouvert
Port 2571		Ouvert
Port 1043		Ouvert
Port 168		Ouvert
Port 1592		Ouvert
Port 2601		Ouvert
Port 2611		Ouvert
Port 1092		Ouvert
Port 1083		Ouvert
Port 236		Ouvert
Port 824		Ouvert
Port 1622		Ouvert
Port 2621		Ouvert
Port 305		Ouvert
Port 1642		Ouvert
Port 185		Ouvert
Port 2631		Ouvert
Port 833		Ouvert
Port 2641		Ouvert
Port 2671		Ouvert
Port 2651		Ouvert
Port 443		Ouvert
Port 2661		Ouvert
Port 2681		Ouvert
Port 1132		Ouvert
Port 2691		Ouvert
Port 2721		Ouvert
Port 2711		Ouvert
Port 425		Ouvert
Port 87		Ouvert
Port 1692		Ouvert
Port 1152		Ouvert
Port 1722		Ouvert
Port 1712		Ouvert
Port 2731		Ouvert
Port 1162		Ouvert
Port 2741		Ouvert
Port 2701		Ouvert
Port 1732		Ouvert
Port 2751		Ouvert
Port 1182		Ouvert
Port 854		Ouvert
Port 2761		Ouvert
Port 1772		Ouvert
Port 2771		Ouvert
Port 1802		Ouvert
Port 2781		Ouvert
Port 1782		Ouvert
Port 864		Ouvert
Port 2801		Ouvert
Port 1822		Ouvert
Port 2791		Ouvert
Port 195		Ouvert
Port 1852		Ouvert
Port 1193		Ouvert
Port 2811		Ouvert
Port 1842		Ouvert
Port 1872		Ouvert
Port 2821		Ouvert
Port 1862		Ouvert
Port 2831		Ouvert
Port 343		Ouvert
Port 2841		Ouvert
Port 1892		Ouvert
Port 1882		Ouvert
Port 76		Ouvert
Port 2851		Ouvert
Port 2861		Ouvert
Port 2881		Ouvert
Port 894		Ouvert
Port 2871		Ouvert
Port 29		Ouvert
Port 2891		Ouvert
Port 2921		Ouvert
Port 2901		Ouvert
Port 2911		Ouvert
Port 1912		Ouvert
Port 1233		Ouvert
Port 1922		Ouvert
Port 2931		Ouvert
Port 2941		Ouvert
Port 2961		Ouvert
Port 2951		Ouvert
Port 2971		Ouvert
Port 2981		Ouvert
Port 474		Ouvert
Port 1932		Ouvert
Port 2991		Ouvert
