Début du scan avec comme paramètres : 
Protocole : TCP		 Nom d'hôte : 127.0.0.1
Port 640		Fermé
Port 641		Fermé
Port 642		Fermé
Port 643		Fermé
Port 644		Fermé
Port 645		Fermé
Port 646		Fermé
Port 647		Fermé
Port 648		Fermé
Port 649		Fermé
Port 650		Fermé
Port 651		Fermé
Port 652		Fermé
Port 653		Fermé
Port 654		Fermé
Port 655		Fermé
Port 656		Fermé
Port 657		Fermé
Port 658		Fermé
Port 659		Fermé
Port 660		Fermé
Port 661		Fermé
Port 662		Fermé
Port 663		Fermé
Port 664		Fermé
Port 665		Fermé
Port 666		Fermé
Port 667		Fermé
Port 668		Fermé
Port 669		Fermé
Port 670		Fermé
Port 671		Fermé
Port 672		Fermé
Port 673		Fermé
Port 674		Fermé
Port 675		Fermé
Port 676		Fermé
Port 677		Fermé
Port 678		Fermé
Port 679		Fermé
Port 680		Fermé
Port 681		Fermé
Port 682		Fermé
Port 683		Fermé
Port 684		Fermé
Port 685		Fermé
Port 686		Fermé
Port 687		Fermé
Port 688		Fermé
Port 689		Fermé
Port 690		Fermé
Port 691		Fermé
Port 692		Fermé
Port 693		Fermé
Port 694		Fermé
Port 695		Fermé
Port 696		Fermé
Port 697		Fermé
Port 698		Fermé
Port 699		Fermé
Port 700		Fermé
Port 701		Fermé
Port 702		Fermé
Port 703		Fermé
Port 704		Fermé
Port 705		Fermé
Port 706		Fermé
Port 707		Fermé
Port 708		Fermé
Port 709		Fermé
Port 710		Fermé
Port 711		Fermé
Port 712		Fermé
Port 713		Fermé
Port 714		Fermé
Port 715		Fermé
Port 716		Fermé
Port 717		Fermé
Port 718		Fermé
Port 719		Fermé
Port 720		Fermé
Port 721		Fermé
Port 722		Fermé
Port 723		Fermé
Port 724		Fermé
Port 725		Fermé
Port 726		Fermé
Port 727		Fermé
Port 728		Fermé
Port 729		Fermé
Port 730		Fermé
Port 731		Fermé
Port 732		Fermé
Port 733		Fermé
Port 734		Fermé
Port 735		Fermé
Port 736		Fermé
Port 737		Fermé
Port 738		Fermé
Port 739		Fermé
Port 740		Fermé
Port 741		Fermé
Port 742		Fermé
Port 743		Fermé
Port 744		Fermé
Port 745		Fermé
Port 746		Fermé
Port 747		Fermé
Port 748		Fermé
Port 749		Fermé
Port 750		Fermé
Port 751		Fermé
Port 752		Fermé
Port 753		Fermé
Port 754		Fermé
Port 755		Fermé
Port 756		Fermé
Port 757		Fermé
Port 758		Fermé
Port 759		Fermé
Port 760		Fermé
Port 761		Fermé
Port 762		Fermé
Port 763		Fermé
Port 764		Fermé
Port 765		Fermé
Port 766		Fermé
Port 767		Fermé
Port 768		Fermé
Port 769		Fermé
Port 770		Fermé
Port 771		Fermé
Port 772		Fermé
Port 773		Fermé
Port 774		Fermé
Port 775		Fermé
Port 776		Fermé
Port 777		Fermé
Port 778		Fermé
Port 779		Fermé
Port 780		Fermé
Port 781		Fermé
Port 782		Fermé
Port 783		Fermé
Port 784		Fermé
Port 785		Fermé
Port 786		Fermé
Port 787		Fermé
Port 788		Fermé
Port 789		Fermé
Port 790		Fermé
Port 791		Fermé
Port 792		Fermé
Port 793		Fermé
Port 794		Fermé
Port 795		Fermé
Port 796		Fermé
Port 797		Fermé
Port 798		Fermé
Port 799		Fermé
Port 800		Fermé
Port 801		Fermé
Port 802		Fermé
Port 803		Fermé
Port 804		Fermé
Port 805		Fermé
Port 806		Fermé
Port 807		Fermé
Port 808		Fermé
Port 809		Fermé
Port 810		Fermé
Port 811		Fermé
Port 812		Fermé
Port 813		Fermé
Port 814		Fermé
Port 815		Fermé
Port 816		Fermé
Port 817		Fermé
Port 818		Fermé
Port 819		Fermé
Port 820		Fermé
Port 821		Fermé
Port 822		Fermé
Port 823		Fermé
Port 824		Fermé
Port 825		Fermé
Port 826		Fermé
Port 827		Fermé
Port 828		Fermé
Port 829		Fermé
Port 830		Fermé
Port 831		Fermé
Port 832		Fermé
Port 833		Fermé
Port 834		Fermé
Port 835		Fermé
Port 836		Fermé
Port 837		Fermé
Port 838		Fermé
Port 839		Fermé
Port 840		Fermé
Port 841		Fermé
Port 842		Fermé
Port 843		Fermé
Port 844		Fermé
Port 845		Fermé
Port 846		Fermé
Port 847		Fermé
Port 848		Fermé
Port 849		Fermé
Port 850		Fermé
Port 851		Fermé
Port 852		Fermé
Port 853		Fermé
Port 854		Fermé
Port 855		Fermé
Port 856		Fermé
Port 857		Fermé
Port 858		Fermé
Port 859		Fermé
Port 860		Fermé
Port 861		Fermé
Port 862		Fermé
Port 863		Fermé
Port 864		Fermé
Port 865		Fermé
Port 866		Fermé
Port 867		Fermé
Port 868		Fermé
Port 869		Fermé
Port 870		Fermé
Port 871		Fermé
Port 872		Fermé
Port 873		Fermé
Port 874		Fermé
Port 875		Fermé
Port 876		Fermé
Port 877		Fermé
Port 878		Fermé
Port 879		Fermé
Port 880		Fermé
Port 881		Fermé
Port 882		Fermé
Port 883		Fermé
Port 884		Fermé
Port 885		Fermé
Port 886		Fermé
Port 887		Fermé
Port 888		Fermé
Port 889		Fermé
Port 890		Fermé
Port 891		Fermé
Port 892		Fermé
Port 893		Fermé
Port 894		Fermé
Port 895		Fermé
Port 896		Fermé
Port 897		Fermé
Port 898		Fermé
Port 899		Fermé
Port 900		Fermé
Port 901		Fermé
Port 902		Fermé
Port 903		Fermé
Port 904		Fermé
Port 905		Fermé
Port 906		Fermé
Port 907		Fermé
Port 908		Fermé
Port 909		Fermé
Port 910		Fermé
Port 911		Fermé
Port 912		Fermé
Port 913		Fermé
Port 914		Fermé
Port 915		Fermé
Port 916		Fermé
Port 917		Fermé
Port 918		Fermé
Port 919		Fermé
Port 920		Fermé
Port 921		Fermé
Port 922		Fermé
Port 923		Fermé
Port 924		Fermé
Port 925		Fermé
Port 926		Fermé
Port 927		Fermé
Port 928		Fermé
Port 929		Fermé
Port 930		Fermé
Port 931		Fermé
Port 932		Fermé
Port 933		Fermé
Port 934		Fermé
Port 935		Fermé
Port 936		Fermé
