Début du scan avec comme paramètres : 
Protocole : TCP		 Nom d'hôte : 127.0.0.1
Port de début : 1		 Timeout Max. socket : 2
Port de fin : 10234		 Execution parallèle : Non

2023-04-12 14:26:37.308269	Port 220	Fermé
2023-04-12 14:26:37.308302	Port 221	Fermé
2023-04-12 14:26:37.308336	Port 222	Fermé
2023-04-12 14:26:37.308369	Port 223	Fermé
2023-04-12 14:26:37.308402	Port 224	Fermé
2023-04-12 14:26:37.308436	Port 225	Fermé
2023-04-12 14:26:37.308470	Port 226	Fermé
2023-04-12 14:26:37.308503	Port 227	Fermé
2023-04-12 14:26:37.308536	Port 228	Fermé
2023-04-12 14:26:37.308569	Port 229	Fermé
2023-04-12 14:26:37.308602	Port 230	Fermé
2023-04-12 14:26:37.308644	Port 231	Fermé
2023-04-12 14:26:37.308680	Port 232	Fermé
2023-04-12 14:26:37.308714	Port 233	Fermé
2023-04-12 14:26:37.308748	Port 234	Fermé
2023-04-12 14:26:37.308781	Port 235	Fermé
2023-04-12 14:26:37.308815	Port 236	Fermé
2023-04-12 14:26:37.308848	Port 237	Fermé
2023-04-12 14:26:37.308881	Port 238	Fermé
2023-04-12 14:26:37.308915	Port 239	Fermé
2023-04-12 14:26:37.308948	Port 240	Fermé
2023-04-12 14:26:37.308982	Port 241	Fermé
2023-04-12 14:26:37.309019	Port 242	Fermé
2023-04-12 14:26:37.309055	Port 243	Fermé
2023-04-12 14:26:37.309089	Port 244	Fermé
2023-04-12 14:26:37.309123	Port 245	Fermé
2023-04-12 14:26:37.309158	Port 246	Fermé
2023-04-12 14:26:37.309191	Port 247	Fermé
2023-04-12 14:26:37.309226	Port 248	Fermé
2023-04-12 14:26:37.309259	Port 249	Fermé
2023-04-12 14:26:37.309296	Port 250	Fermé
2023-04-12 14:26:37.309331	Port 251	Fermé
2023-04-12 14:26:37.309365	Port 252	Fermé
2023-04-12 14:26:37.309399	Port 253	Fermé
2023-04-12 14:26:37.309439	Port 254	Fermé
2023-04-12 14:26:37.309474	Port 255	Fermé
2023-04-12 14:26:37.309517	Port 256	Fermé
2023-04-12 14:26:37.309555	Port 257	Fermé
2023-04-12 14:26:37.309589	Port 258	Fermé
2023-04-12 14:26:37.309624	Port 259	Fermé
2023-04-12 14:26:37.309665	Port 260	Fermé
2023-04-12 14:26:37.309700	Port 261	Fermé
2023-04-12 14:26:37.309735	Port 262	Fermé
2023-04-12 14:26:37.309770	Port 263	Fermé
2023-04-12 14:26:37.309805	Port 264	Fermé
2023-04-12 14:26:37.309838	Port 265	Fermé
2023-04-12 14:26:37.309872	Port 266	Fermé
2023-04-12 14:26:37.309905	Port 267	Fermé
2023-04-12 14:26:37.309939	Port 268	Fermé
2023-04-12 14:26:37.309973	Port 269	Fermé
2023-04-12 14:26:37.310006	Port 270	Fermé
2023-04-12 14:26:37.310039	Port 271	Fermé
2023-04-12 14:26:37.310072	Port 272	Fermé
2023-04-12 14:26:37.310105	Port 273	Fermé
2023-04-12 14:26:37.310139	Port 274	Fermé
2023-04-12 14:26:37.310173	Port 275	Fermé
2023-04-12 14:26:37.310207	Port 276	Fermé
2023-04-12 14:26:37.310240	Port 277	Fermé
2023-04-12 14:26:37.310274	Port 278	Fermé
2023-04-12 14:26:37.310308	Port 279	Fermé
